ts_iso,ticker,keywords,p_model
2026-01-31T13:55:48.487544+00:00,KXBTCD-26JAN3107-T82749.99,,0.0
2026-01-31T13:55:48.487544+00:00,KXBTCD-26JAN3107-T83249.99,,0.0
2026-01-31T13:55:48.487544+00:00,KXWTAMATCH-26JAN31QUECHA-CHA,,0.0
2026-01-31T13:55:48.487544+00:00,KXWTAMATCH-26JAN31QUECHA-QUE,,0.0
2026-01-31T13:55:48.487544+00:00,KXWTAMATCH-26JAN31JACPAQ-PAQ,,0.0
2026-01-31T13:55:48.487544+00:00,KXAOWOMEN-26-ASAB,,0.0
2026-01-31T13:55:48.487544+00:00,KXATPCHALLENGERMATCH-26JAN30KORDRA-KOR,,0.0
2026-01-31T13:55:48.487544+00:00,KXATPCHALLENGERMATCH-26JAN30SHIHIJ-HIJ,,0.0
2026-01-31T13:55:48.487544+00:00,KXATPCHALLENGERMATCH-26JAN30JUSBAR-BAR,,0.0
2026-01-31T13:55:48.487544+00:00,KXATPCHALLENGERMATCH-26JAN30KYPSMI-SMI,,0.0
2026-01-31T13:55:48.487544+00:00,KXATPCHALLENGERMATCH-26JAN30KYPSMI-KYP,,0.0
2026-01-31T13:55:48.487544+00:00,KXATPMATCH-26JAN29ALCZVE-ZVE,,0.0
2026-01-31T13:55:48.487544+00:00,KXATPMATCH-26JAN29ALCZVE-ALC,,0.0
2026-01-31T13:55:48.487544+00:00,KXNCAAMBGAME-26JAN29HAWUCI-UCI,,0.0
2026-01-31T13:55:48.487544+00:00,KXNBAGAME-26JAN29MIACHI-MIA,,0.0
2026-01-31T13:55:48.487544+00:00,KXATPCHALLENGERMATCH-26JAN29TOMHIJ-HIJ,,0.0
2026-01-31T13:55:48.487544+00:00,KXNBAGAME-26JAN29HOUATL-HOU,,0.0
2026-01-31T13:55:48.487544+00:00,KXNCAAMBGAME-26JAN29NJITALBY-NJIT,,0.0
2026-01-31T13:55:48.487544+00:00,KXNCAAMBGAME-26JAN29NJITALBY-ALBY,,0.0
2026-01-31T13:55:48.487544+00:00,KXNBAGAME-26JAN29MILWAS-MIL,,0.0
2026-01-31T13:55:48.487544+00:00,KXNCAAMBGAME-26JAN29BRYBING-BRY,,0.0
2026-01-31T13:55:48.487544+00:00,KXATPCHALLENGERMATCH-26JAN29KORILA-KOR,,0.0
2026-01-31T13:55:48.487544+00:00,KXATPCHALLENGERMATCH-26JAN28BARSIM-BAR,,0.0
2026-01-31T13:55:48.487544+00:00,KXATPCHALLENGERMATCH-26JAN28BARSIM-SIM,,0.0
2026-01-31T13:55:48.487544+00:00,KXATPCHALLENGERMATCH-26JAN28BARSHI-BAR,,0.0
2026-01-31T13:55:48.487544+00:00,KXNBAGAME-26JAN28SASHOU-HOU,,0.0
2026-01-31T13:55:48.487544+00:00,KXNCAAMBGAME-26JAN28STANMIA-STAN,,0.0
2026-01-31T13:55:48.487544+00:00,KXNBAGAME-26JAN28ORLMIA-ORL,,0.0
2026-01-31T13:55:48.487544+00:00,KXNBAGAME-26JAN28CHAMEM-MEM,,0.0
2026-01-31T13:55:48.487544+00:00,KXATPCHALLENGERMATCH-26JAN28DOSHIJ-DOS,,0.0
2026-01-31T13:55:48.487544+00:00,KXATPCHALLENGERMATCH-26JAN28DOSHIJ-HIJ,,0.0
2026-01-31T13:55:48.487544+00:00,KXNBAGAME-26JAN28ATLBOS-ATL,,0.0
2026-01-31T13:55:48.487544+00:00,KXNCAAWBGAME-26JAN27UNTUTSA-UTSA,,0.0
2026-01-31T13:55:48.487544+00:00,KXATPCHALLENGERMATCH-26JAN28SHIKOZ-SHI,,0.0
2026-01-31T13:55:48.487544+00:00,KXATPCHALLENGERMATCH-26JAN28SHIKOZ-KOZ,,0.0
2026-01-31T13:55:48.487544+00:00,KXUCLGAME-26JAN28ATHSPO-SPO,,0.0
2026-01-31T13:55:48.487544+00:00,KXATPCHALLENGERMATCH-26JAN28DELTOR-DEL,,0.0
2026-01-31T13:55:48.487544+00:00,KXATPCHALLENGERMATCH-26JAN28BERMAN-BER,,0.0
2026-01-31T13:55:48.487544+00:00,KXATPCHALLENGERMATCH-26JAN28SOTKIC-KIC,,0.0
2026-01-31T13:55:48.487544+00:00,KXFEDMENTION-26JAN-UNCE,,0.0
2026-01-31T13:55:48.487544+00:00,KXATPCHALLENGERMATCH-26JAN28KYPZIN-KYP,,0.0
2026-01-31T13:56:18.818126+00:00,KXBTCD-26JAN3107-T82749.99,,0.0
2026-01-31T13:56:18.818126+00:00,KXBTCD-26JAN3107-T83249.99,,0.0
2026-01-31T13:56:18.818126+00:00,KXWTAMATCH-26JAN31QUECHA-CHA,,0.0
2026-01-31T13:56:18.818126+00:00,KXWTAMATCH-26JAN31QUECHA-QUE,,0.0
